0	"attracted"	local:AM-CAU	"because automated acquisition of ontologies from data can complement manual, expensive construction of ontologies."
0	"attracted"	vn.role:Agent	"automated acquisition of ontologies from data"
0	"attracted"	vn.role:Theme	"research interest"
1	"investigate"	vn.role:Agent	"we"
1	"investigate"	vn.role:Location	"the problem of general terminology induction in owl, i.e. acquiring general, expressive tbox axioms from an abox -lrb- data -rrb-."
1	"acquiring"	vn.role:Agent	"we"
1	"acquiring"	vn.role:Topic	"general, expressive tbox axioms from an abox -lrb- data -rrb-."
2	"define"	vn.role:Agent	"we"
2	"define"	vn.role:Theme	"designed to rigorously evaluate the quality of general, expressive tbox axioms while respecting the standard semantics of owl."
2	"designed"	vn.role:Product	"we"
2	"designed"	vn.role:Beneficiary	"rigorously evaluate the quality of general, expressive tbox axioms while respecting the standard semantics of owl."
2	"evaluate"	local:AM-MNR	"rigorously"
2	"evaluate"	local:AM-TMP	"while respecting the standard semantics of owl."
2	"evaluate"	vn.role:Agent	"we"
2	"evaluate"	vn.role:Theme	"the quality of general, expressive tbox axioms"
2	"respecting"	vn.role:Theme	"we"
2	"respecting"	vn.role:Experiencer	"the standard semantics of owl."
3	"propose"	vn.role:Agent	"we"
3	"propose"	vn.role:Topic	"informed, data-driven algorithm that constructs class expressions for general, expressive tbox axioms in owl completeness."
3	"constructs"	vn.role:Agent	"informed, data-driven algorithm"
3	"constructs"	vn.role:Product	"class expressions for general, expressive tbox axioms in owl completeness."
4	"propose"	vn.role:Agent	"we"
4	"propose"	vn.role:Topic	"informed, data-driven algorithm that constructs class expressions for general, expressive tbox axioms in guarantees completeness."
4	"constructs"	vn.role:Agent	"informed, data-driven algorithm"
4	"constructs"	vn.role:Product	"class expressions for general, expressive tbox axioms in guarantees completeness."
5	"evaluate"	local:AM-MNR	"empirically"
5	"evaluate"	vn.role:Agent	"we"
5	"evaluate"	vn.role:Theme	"the quality measures on two corpora of ontologies"
5	"run"	local:AM-MNR	"empirically"
5	"run"	vn.role:Location	"we"
5	"run"	vn.role:Theme	"case study with a domain expert to gain insight into applicability of the measures"
5	"gain"	vn.role:Attribute	"insight into applicability of the measures"
5	"acquired"	vn.role:Agent	"we"
5	"acquired"	vn.role:Topic	"general, expressive tbox axioms."
6	"show"	vn.role:Agent	"the results"
6	"show"	vn.role:Theme	"that the measures capture different quality aspects and not only correct general, expressive tbox axioms can be interesting."
6	"capture"	vn.role:Agent	"the measures"
6	"capture"	vn.role:Theme	"different quality aspects"
0	"expensive"	local:partOf	"expensive construction"
0	"research"	local:partOf	"research interest"
0	"automated acquisition"	rdfs:subClassOf	"acquisition"
0	"research interest"	rdfs:subClassOf	"interest"
0	"automated"	local:partOf	"automated acquisition"
0	"expensive construction"	rdfs:subClassOf	"construction"
0	"can complement"	rdfs:subClassOf	"complement"
0	"has attracted"	rdfs:subClassOf	"attracted"
0	"automated acquisition of ontologies"	local:of_ontologies	"automated acquisition"
