0	"dealing"	vn.role:Theme	"with large tabular datasets"
0	"requires"	local:AM-TMP	"often"
0	"requires"	vn.role:Agent	"dealing with large tabular datasets"
0	"requires"	vn.role:Patient	"extensive preprocessing."
1	"happens"	local:AM-PNC	"only once, so that loading the data in a database may be an overkill."
1	"happens"	vn.role:Location	"this preprocessing"
1	"loading"	local:AM-MNR	"database"
2	"happens"	local:AM-PNC	"that indexing the data in a database may be an overkill."
2	"happens"	vn.role:Location	"this preprocessing"
2	"indexing"	local:AM-MNR	"database"
2	"indexing"	vn.role:Theme	"the data"
3	"happens"	local:AM-PNC	"that indexing the data in triple store may be an overkill."
3	"happens"	vn.role:Location	"this preprocessing"
3	"indexing"	vn.role:Theme	"the data in triple store"
4	"happens"	local:AM-PNC	"only once, so that loading the data in triple store may be an overkill."
4	"happens"	vn.role:Location	"this preprocessing"
5	"present"	local:AM-LOC	"this paper,"
5	"present"	local:AM-MNR	"without indexing the data."
5	"present"	vn.role:Agent	"we"
5	"present"	vn.role:Theme	"approach that allows preprocessing large tabular data in datalog--"
5	"allows"	vn.role:Agent	"approach"
5	"allows"	vn.role:Theme	"preprocessing large tabular data in datalog-- without indexing the data."
5	"indexing"	vn.role:Theme	"the data."
6	"translated"	vn.role:Patient	"the datalog query"
6	"translated"	vn.role:Product	"unix bash."
7	"can executed"	local:AM-MNR	"shell."
7	"can executed"	vn.role:Patient	"the datalog query"
8	"show"	vn.role:Agent	"experiments"
8	"show"	vn.role:Theme	"that, for the use case of data preprocessing, we approach is competitive with state-of-the-art systems in terms of scalability, while at the same time requiring only a bash shell on a unix system."
8	"requiring"	vn.role:Agent	"state-of-the-art systems"
8	"requiring"	vn.role:Patient	"unix system."
8	"requiring"	vn.role:Proposition	"only a bash shell"
9	"show"	vn.role:Agent	"experiments"
9	"show"	vn.role:Theme	"that, for the use case of data preprocessing, we approach is competitive with state-of-the-art systems in terms of speed, while at the same time requiring only a bash shell on a unix system."
9	"requiring"	vn.role:Agent	"state-of-the-art systems"
9	"requiring"	vn.role:Patient	"unix system."
9	"requiring"	vn.role:Proposition	"only a bash shell"
0	"tabular datasets"	rdfs:subClassOf	"datasets"
0	"extensive preprocessing"	rdfs:subClassOf	"preprocessing"
0	"large tabular"	rdfs:subClassOf	"tabular"
0	"extensive"	local:partOf	"extensive preprocessing"
0	"large tabular"	local:partOf	"large tabular datasets"
0	"large"	local:partOf	"large tabular"
0	"large tabular datasets"	rdfs:subClassOf	"datasets"
0	"tabular"	local:partOf	"tabular datasets"
0	"often requires"	rdfs:subClassOf	"requires"
0	"large tabular datasets"	rdfs:subClassOf	"tabular datasets"
